N°;Code du partenaire;Ancien code;Nom du partenaire;CP (destin. facture);Ville destinataire de facture;N° ID entreprise;M7-ICPE;URL;Data
1;C10194;02LEQUEUX;SARL BIO-AISNERGIES;2800.0;ANGUILCOURT LE SART;FR28789987179;Déclaration;;
2;C10523;08ARNOULD;GAEC ARNOULD;8240.0;ANDEVANNE-TAILLY;FR71327460994;Déclaration;;
3;C10537;08BRICAUB;GAEC DE PRESLES;8370.0;VILLY;FR88381075357;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0050800612;
4;C10551;08FORGET;GAEC FORGET;8440.0;VIVIER AU COURT;FR51327974861;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0050800616;
5;C10604;08WILLAIME;GAEC CHARLEMAGNE;8110.0;SAILLY;FR35317062776;Déclaration;;
6;C13350;51ALUSSEJ;EARL DU PARADIS;51260.0;CLESLES;FR79321568958;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0052205607;
7;C13410;51PONSINJG;SAS METHAGAZ;51380.0;VAUDEMANGES;FR06791228901;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005704785;
8;C20019;53LANDAIS;SARL FERTIWATT;53190.0;FOUGEROLLE DU PLESSIS;FR26795308857;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0006307523;1.b
9;C21593;49RETHOREM;SAS METHABATES;49410.0;MESNIL EN VALLEE/ MAUGES SUR LOIRE;FR29805336039;Déclaration;;
10;C22327;49BIOENERGIE;BIOENERGIE-VIHIERS;49310.0;LYS-HAUT-LAYON;FR06789401809;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0006307440;Arrêté préfectoral
11;C23669;12METHANAUBRAC;METHANAUBRAC SAS;12420.0;ARGENCE EN AUBRAC;FR11802492090;Déclaration;;
12;C23765;15METHA PEYR;!!!SARL METHA PEYROUX;15240.0;SAUVAT;FR01831932298;Déclaration;;
13;C24250;77MAHE M;MAHÉ BIO-ENERGIE;77470.0;MAGNY SAINT LOUP;FR87817804503;Déclaration;;
14;C24278;49LORE;GAEC DU BOIS BRILLANT;49123.0;SAINT SIGISMOND;FR49339123135;Déclaration;;
15;C25031;02GOFFINET;SAS AISNE METHANE ENERGIE;2270.0;MONCEAU LE NEUF ET FAUCOUZY;FR86845156595;Déclaration;;
16;C25106;77BASSEEBIOGAZ;BASSEE BIOGAZ;77480.0;JAULNES;FR77810178004;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0006520353;2.b
17;C25121;37BIOGAZ;SAS BIOGAZ LA CROIX MORIN;37120.0;COURCOUE;FR74808723100;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0010013803;1.b
18;C25262;49SEJOURNE;SAS SORINIERE ENVIRONNEMENT;49500.0;SEGRE EN ANJOU BLEU;FR76804053262;Déclaration;;
19;C25272;53PIEDNOIR;GAEC DE LA ROUSSELAIE;53300.0;COUESME VAUCE;FR91343758488;Déclaration;;
20;C25331;49POULARD;GAEC DE LA PETITE FERRONNIERE;49125.0;BRIOLAY;FR38353773591;Déclaration;;
21;C25477;02BUYSSE A;GAEC BUYSSE;2120.0;LE HÉRIE LA VIÉVILLE;FR76394739064;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0050201172;1.b
22;C26736;53BLANDEAUJP;SAS METHAMINE;53410.0;SAINT PIERRE LA COURS;FR17840924559;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0006310768;
23;C26798;49BOUEP;EARL LA GRANDE POMMERAIE;49500.0;SEGRE EN ANJOU BLEU;FR50423750074;Déclaration;;
24;C27584;08MIGNEAUX D;SAS METHA BEAURY;8290.0;RUMIGNY;FR96828569954;Déclaration;;
25;C27598;02LEMOINE;BIOMETHANE DU CHAUNOIS;2300.0;TROSLY-LOIRE;FR26834582314;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0003802294;2.b
26;C27848;72BMGC;BIO METHA GAZ CONLINOISE;72240.0;TENNIE;FR45850491937;Déclaration;https://www.georisques.gouv.fr/risques/installations/donnees/details/0006311207;1.b
27;C28064;08FORGET P;SAS GAZ ÉCO VERT;8330.0;VRIGNE AUX BOIS;FR24852616812;Déclaration;;
28;C28159;08DEPARPE B;*GAZ DE CONSTANTINE;8220.0;BANOGNE-RECOUVRANCE;FR06842464398;Déclaration;;
29;C34462;51OURY;S.A.S TERRENERGY;51240.0;COUPETZ;FR22752963926;Déclaration;;
30;C41336;77SAUSSIER;CHAMP D'ENERGIE;77610.0;CHATRES;FR32882963200;Déclaration;;
31;C41544;53TORGAZ;TORGAZ;53270.0;TORCE-VIVIERS-EN-CHARNIE;FR71904395654;Déclaration;;
32;C41624;53SALMONDA;OUDON BIOGAZ;;CRAON;FR96794060749;Déclaration;;
33;C41944;08TERRAGAZ;SAS TERRAGAZ;8400.0;SEMIDE;FR67853203255;Déclaration;;
34;C42147;72BOURNEUF;SAS METHA CHENAIS BOURNEUF;72160.0;TUFFE VAL DE LA CHERONNE;FR25819549577;Déclaration;;
35;C42559;12BOU J;GAEC DES DEUX COLLINES;12240.0;CASTANET;FR94312045891;Déclaration;;
